コード,名称,フリガナ,略称,郵便番号,住所１,住所２,部署名,役職名,ご担当者,敬称,TEL,FAX,メールアドレス,ホームページ,担当者,,取引区分,単価種類,掛率,請求先,,締グループ,,金額端数処理,税端数処理,税転嫁,与信限度額,売掛残高,回収方法,,,回収サイクル,回収日,手数料負担,サイト,指定売上伝票,指定請求書,宛名ラベル,企業コード,分類１,,分類２,,分類３,,分類４,,分類５,,メモ欄,参照表示,更新日,請求書合算, 
413,東洋紡アパレルシステムズ株式会社,ﾄｳﾖｳﾎﾞｳｱﾊﾟﾚﾙｼｽﾃﾑｽﾞｶﾌﾞｼｷｶﾞｲｼｬ,東洋紡アパレルシステムズ,530-0004,大阪府大阪市北区堂島浜二丁目２番８号,東洋紡ビル９階,生産管理部,,永山,様,06-6341-6680,,,,K,上村　茂K,掛売上,売上単価１,100.0 ,413,東洋紡アパレルシステムズ株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,25 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2014年11月20日,,
415,東洋紡ＳＴＣ株式会社,ﾄｳﾖｳﾎﾞｳSTCｶﾌﾞｼｷｶﾞｲｼｬ,東洋紡ＳＴＣ㈱,530-0004,大阪府大阪市北区堂島浜二丁目２番８号,東洋紡ビル９階　東洋紡ｱﾊﾟﾚﾙｼｽﾃﾑｽﾞ㈱内,東洋紡ＳＴＣ㈱　マンシングウェアグループ,,丸井,様,06-6341-6680,,,,K,上村　茂K,掛売上,売上単価１,100.0 ,415,東洋紡ＳＴＣ株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年02月21日,,
418,外与株式会社,ﾄﾉﾖｶﾌﾞｼｷｶﾞｲｼｬ,外与㈱,541-0052,大阪府大阪市中央区安土町３丁目３番２号,,,,,御中,06-6261-4691,,,,K,上村　茂K,掛売上,売上単価１,100.0 ,418,外与株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2014年12月16日,,
424,豊島株式会社,ﾄﾖｼﾏ(ｶﾌﾞ),豊島㈱,541-0053,大阪府大阪市中央区本町１－５－７,西村ビル８Ｆ  ＲＭ  ８０１２,１０部１課,,,御中,06-6484-7427,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,424,豊島株式会社,25,毎月25日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,20 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
426,豊島株式会社    東京本社,ﾄﾖｼﾏｶﾌﾞ,豊島㈱    東京本社,101-0033,東京都千代田区神田岩本町二番一  ８階,,東京ニ部ニ課,課長,鈴木,様,03-4334-6014,,,,L,上村　茂L,掛売上,売上単価１,100.0 ,426,豊島株式会社    東京本社,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,"682,812 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2016年01月30日,,
428,豊島株式会社,ﾄﾖｼﾏ(ｶﾌﾞ),豊島㈱,460-0003,愛知県名古屋市中区錦２－１５－１５,,三部十課,,,御中,052-204-7510,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,428,豊島株式会社,25,毎月25日締,切り捨て,切り捨て,外税/伝票計,0 ,"7,296,969 ",201,振込,当座預金,翌月,20 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2016年07月01日,,
429,株式会社トレスアクア,ｶﾌﾞｼｷｶﾞｲｼｬﾄﾚｽｱｸｱ,㈱トレスアクア,921-8014,石川県金沢市糸田２丁目２０３－１　２階,,,,濱口,様,076-214-6167,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,429,株式会社トレスアクア,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,25 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年02月19日,,
430,東北整練株式会社,ﾄｳﾎｸｾｲﾚﾝｶﾌﾞｼｷｶﾞｲｼｬ,東北整練㈱,992-0003,山形県米沢市窪田町窪田２７３６－１,,,,,御中,0238-37-6600,0238-37-7811,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,430,東北整練株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"1,327,023 ",000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年06月10日,,
431,トスコ株式会社,ﾄｽｺｶﾌﾞｼｷｶﾞｲｼｬ,トスコ㈱,103-0013,東京都中央区日本橋人形町1丁目1番10号,,,,,様,03-3667-2121,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,431,トスコ株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年05月27日,,
434,外与株式会社,,外与㈱,103-0012,東京都中央区日本橋堀留町1-10-12,,,,安居,様,03-3664-6952,,,,k,上村　茂K,掛売上,売上単価１,100.0 ,434,外与株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"6,177 ",000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年12月26日,,
454,中木戸織物有限会社,ﾅｶｷﾄﾞｵﾘﾓﾉ,中木戸織物㈲,923-0053,石川県小松市河田町リ４５,,,,,御中,0761-47-1121,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,454,中木戸織物有限会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2014年11月11日,,
456,ニシキミ株式会社,ﾆｼｷﾐ(ｶﾌﾞ),ニシキミ㈱,501-0224,岐阜県瑞穂市稲里３４１番地,,,社長,錦見,様,058-327-6295,,,,K,上村　茂K,掛売上,売上単価１,100.0 ,456,ニシキミ株式会社,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
458,株式会社ナカヒロ,ｶﾌﾞ ﾅｶﾋﾛ,㈱ナカヒロ,541-0048,大阪府大阪市中央区瓦町３丁目３－１０,ニッケ大阪ビル７Ｆ,ビジネス事業部,課長,加藤,様,06-7178-1984,,,,L,上村　茂L,掛売上,売上単価１,100.0 ,458,株式会社ナカヒロ,10,毎月10日締,切り捨て,切り捨て,外税/伝票計,0 ,"54,000 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2015年03月02日,,
459,株式会社ナカヒロ  東京支店,(ｶﾌﾞ)ﾅｶﾋﾛ ﾄｳｷｮｳｼﾃﾝ,㈱ナカヒロ  東京支店,104-0032,東京都中央区八丁堀１丁目２－８,タビックスビル７階,ビジネス事業部東京販売課,課長,森村,様,03-6327-7713,,,,L,上村　茂L,掛売上,売上単価１,100.0 ,459,株式会社ナカヒロ  東京支店,10,毎月10日締,切り捨て,切り捨て,外税/伝票計,0 ,"1,021,501 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2015年05月16日,,
461,日新実業株式会社,T.ﾆｯｼﾝｼﾞﾂｷﾞｮｳ ｶﾌﾞ,日新実業㈱,101-0062,東京都千代田区神田駿河台３－４,龍名館本店ビル４階,業務推進本部,,,御中,03-3253-5558,,,,L,上村　茂L,掛売上,売上単価１,100.0 ,461,日新実業株式会社,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,"1,807,269 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
462,ＴＨプランニング,thﾌﾟﾗﾝﾆﾝｸﾞ,ＴＨプランニング,940-0221,新潟県長岡市金町１－５－１５,,,,張戸,様,0258-86-7455,,,,k,上村　茂K,掛売上,売上単価１,100.0 ,462,ＴＨプランニング,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2014年12月03日,,
463,日本合繊工業株式会社,ﾆﾎﾝｺﾞｳｾﾝｺｳｷﾞｮｳｶﾌﾞｼｷｶﾞｲｼｬ,日本合繊工業㈱,601-8212,京都府京都市南区久世上久世町６６１,,,,,御中,075-931-2185,075-921-3458,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,463,日本合繊工業株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年05月27日,,
464,株式会社ニッケファブリック,ｶﾌﾞｼｷｶﾞｲｼｬﾆｯｹﾌｧﾌﾞﾘｯｸ,㈱ニッケファブリック,491-0053,愛知県一宮市今伊勢町本神戸字河原１,,,,,御中,0586-26-2420,0586-26-2339,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,464,株式会社ニッケファブリック,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年07月02日,,
465,株式会社ニットマテリアル,ｶﾌﾞｼｷｶﾞｲｼｬﾆｯﾄﾏﾃﾘｱﾙ,㈱ニットマテリアル,400-0047,山梨県甲府市徳行1丁目14-16,,,,,御中,055-237-3309,055-237-8344,,,,,掛売上,売上単価１,100.0 ,465,株式会社ニットマテリアル,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年07月02日,,
466,ニットーボー新潟株式会社,ﾆｯﾄｰﾎﾞｰﾆｲｶﾞﾀｶﾌﾞｼｷｶﾞｲｼｬ,ニットーボー新潟㈱,950-0065,新潟県新潟市東区東新町6-50,,,,,御中,025-273-7193,025-273-3625,,,,,掛売上,売上単価１,100.0 ,466,ニットーボー新潟株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年07月10日,,
467,株式会社ニシキ,ｶﾌﾞｼｷｶﾞｲｼｬﾆｼｷ,㈱ニシキ,501-0224,岐阜県瑞穂市稲里341番地,,,代表取締役,錦見龍雄,様,058-327-6295,,,,K,上村　茂K,掛売上,売上単価１,100.0 ,467,株式会社ニシキ,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,"83,824 ",000,,,当月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年11月02日,,
468,ニッシン・トーア株式会社,ﾆｯｼﾝ･ﾄｰｱｶﾌﾞｼｷｶﾞｲｼｬ,ニッシン・トーア㈱,541-0056,大阪府大阪市中央区久太郎町1-4-8,堺筋本町ガーデンスクエアビル10階,,,,御中,06-6262-0402,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,468,ニッシン・トーア株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2016年05月06日,,
469,ニッシン・トーア株式会社,ﾆｯｼﾝ･ﾄｰｱｶﾌﾞｼｷｶﾞｲｼｬ,ニッシン・トーア㈱,432-8042,静岡県浜松市中区上浅田1-9-5,,東京繊維部　浜松営業所,,,御中,053-452-4175,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,469,ニッシン・トーア株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"511,666 ",000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2016年05月14日,,
480,ノベチェント株式会社,ﾉﾍﾞﾁｪﾝﾄ (ｶﾌﾞ),ノベチェント㈱,141-0031,東京都品川区西五反田８－９－１１,グレンパーク　Ｇ－ＷＥＳＴ３０３,,,村崎,様,03-5759-8215,,,,K,上村　茂K,掛売上,売上単価１,100.0 ,480,ノベチェント株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2015年04月29日,,
481,株式会社中健商店,ｶﾌﾞｼｷｶﾞｲｼｬﾅｶｹﾝｼｮｳﾃﾝ,㈱中健商店,918-8239,福井県福井市成和1-2101,,,,,御中,0776-24-2462,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,481,株式会社中健商店,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年05月21日,,
491,第一合繊株式会社,ﾀﾞｲｲﾁｺｳｾﾝｶﾌﾞｼｷｶｲｼｬ,第一合繊㈱,954-0082,新潟県見附市柳橋町３３６－１,,生産部,部長,諸橋,様,0258-66-3700,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,491,第一合繊株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"765,882 ",201,振込,当座預金,翌月,15 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2014年11月18日,,
492,第一合繊株式会社,ﾀﾞｲｲﾁｺﾞｳｾﾝｶﾌﾞｼｷｶﾞｲｼｬ,第一合繊㈱,954-0082,新潟県見附市柳橋町336-1,,営業部,部長,河内,様,0258-66-3700,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,492,第一合繊株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年03月20日,,
493,第一合繊株式会社,ﾀﾞｲｲﾁｺﾞｳｾﾝｶﾌﾞｼｷｶﾞｲｼｬ,第一合繊㈱,954-0082,新潟県見附市柳橋町336-1,,開発部,部長,酒井,様,0258-66-6660,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,493,第一合繊株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,15 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年07月18日,,
494,第一合繊株式会社,ﾀﾞｲｲﾁｺﾞｳｾﾝｶﾌﾞｼｷｶﾞｲｼｬ,第一合繊株式会社,954-0082,新潟県見附市柳橋町336-1,,業務部,,,御中,0258-66-3700,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,494,第一合繊株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,15 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年12月26日,,
526,ひかり商事株式会社,ﾋｶﾘｼｮｳｼﾞｶﾌﾞｼｷｶﾞｲｼｬ,ひかり商事㈱,910-0854,福井県福井市御幸4丁目21番10号,,,,山田,様,0776-24-3111,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,526,ひかり商事株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年01月17日,,
533,ヒロタ商事,ﾋﾛﾀｼｮｳｼﾞ,ヒロタ商事,923-0998,石川県小松市義仲町169,,,,,御中,0761-21-1924,0761-21-1976,,,,,掛売上,売上単価１,100.0 ,533,ヒロタ商事,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : ソフィーナ売伝/支払通知/納品書,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2016年07月04日,,
534,広撚株式会社,ﾋﾛﾈﾝｶﾌﾞｼｷｶﾞｲｼｬ,広撚㈱,9108668,福井県福井市順化2-12-1,,テキスタイル2部33課,,,御中,0776-20-2615,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,534,広撚株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年09月02日,,
535,広撚株式会社ＴＸ第１部２１課,ﾋﾛﾈﾝｶﾌﾞｼｷｶﾞｲｼｬ,広撚株式会社,910-0023,福井県福井市順化2-12-1,,,,,御中,0776-20-2511,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,535,広撚株式会社ＴＸ第１部２１課,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年12月26日,,
536,広撚株式会社,ﾋﾛﾈﾝｶﾌﾞｼｷｶﾞｲｼｬ,広撚㈱,453-0804,愛知県名古屋市中村区黄金通3-28-1,,衣料販売部名古屋,,西尾,様,052-461-3411,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,536,広撚株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"105,649 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年02月03日,,
537,広撚株式会社,ﾋﾛﾈﾝｶﾌﾞｼｷｶﾞｲｼｬ,広撚㈱,910-0023,福井県福井市順化２－１２－１,,ＴＸ第２部２３課,,,御中,0776-20-2500,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,537,広撚株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2014年11月11日,,
539,広撚株式会社,ﾋﾛﾈﾝｶﾌﾞｼｷｶﾞｲｼｬ,広撚㈱,9108668,福井県福井市順化2丁目12番1号,,95課,,,御中,0776-20-2514,,,,,,掛売上,売上単価１,100.0 ,539,広撚株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年06月25日,,
541,広撚株式会社,ﾋﾛﾈﾝｶﾌﾞｼｷｶﾞｲｼｬ,広撚㈱,160-0022,東京都新宿区新宿二丁目14番6号,第二早川屋ビル5階,衣料販売部東京販売課,,昆布,様,03-5360-1970,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,541,広撚株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2016年07月15日,,
543,株式会社フジ工芸,(ｶﾌﾞ) ﾌｼﾞｺｳｹﾞｲ,㈱フジ工芸,955-0057,新潟県三条市新光町２５－３６,,,,,御中,,0256-35-7397,,,X,上村　茂X,掛売上,売上単価１,100.0 ,543,株式会社フジ工芸,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2015年03月30日,,
544,株式会社深谷由松商店 北陸支店,ｶﾌﾞ.ﾌｶﾔﾖｼﾏﾂｼｮｳﾃﾝ ﾎｸﾘｸｼﾃﾝ,㈱深谷由松商店 北陸支店,921-8014,石川県金沢市糸田2丁目203の1 2階,,,,福浦,様,076-214-6167,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,544,株式会社深谷由松商店 北陸支店,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年03月26日,,
545,株式会社深谷由松商店,ｶﾌﾞｼｷｶﾞｲｼｬﾌｶﾔﾕﾏﾂｼｮｳﾃﾝ,㈱深谷由松商店,444-0061,愛知県岡崎市能見町39,,,,,御中,0564-22-1664,0564-22-3324,,,,,掛売上,売上単価１,100.0 ,545,株式会社深谷由松商店,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2016年03月24日,,
547,有限会社プロウ,(ﾕｳ)ﾌﾟﾛｳ,㈲プロウ,573-1116,大阪府枚方市船橋本町２丁目６７－２３,,,代表取締役,岩本,様,072-851-1901,,,,X,上村　茂X,掛売上,売上単価１,100.0 ,547,有限会社プロウ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
548,株式会社ホセ貿易,ｶﾌﾞ ﾎｾﾎﾞｳｴｷ,㈱ホセ貿易,540-0029,大阪府大阪市中央区本町橋７－１７,トウセン本町橋ビル２０６号室,,,,御中,06-6947-7690,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,548,株式会社ホセ貿易,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,10 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
